0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
27.752838,27.780256,27.846464,27.922886,28.032019,28.14459,28.28295,28.417828,28.57152,28.714396,28.867802,29.000277,29.129875,29.219505,29.277838,29.306564
27.780256,27.799978,27.850275,27.914415,28.014078,28.119362,28.25213,28.382765,28.533289,28.673925,28.825975,28.9581,29.088772,29.18171,29.246155,29.27784
27.846464,27.850275,27.854786,27.893541,27.973627,28.063837,28.185041,28.306873,28.450811,28.586712,28.735727,28.86669,28.998842,29.098263,29.18171,29.219507
27.922886,27.914415,27.893541,27.905016,27.95411,28.02045,28.123323,28.231163,28.364555,28.492731,28.636478,28.764532,28.896414,28.998842,29.088774,29.129877
28.03202,28.014076,27.973627,27.95411,27.945818,27.977886,28.054415,28.142096,28.260199,28.376999,28.512608,28.635351,28.764532,28.86669,28.958103,29.00028
28.144592,28.119362,28.063839,28.02045,27.977886,27.97589,28.016283,28.076256,28.173252,28.274162,28.398087,28.512608,28.636478,28.73573,28.825977,28.867804
28.282948,28.25213,28.185041,28.123322,28.054415,28.016283,27.99542,28.01827,28.086891,28.166298,28.274162,28.376999,28.492731,28.586712,28.673927,28.7144
28.41783,28.382765,28.306873,28.231163,28.142097,28.076256,28.018269,28.004984,28.036058,28.086891,28.173252,28.260199,28.364555,28.450811,28.53329,28.571522
28.57152,28.533289,28.450811,28.364555,28.2602,28.173252,28.086891,28.036058,28.004986,28.018269,28.076256,28.142097,28.231163,28.306871,28.382765,28.41783
28.714397,28.673927,28.586712,28.492731,28.376999,28.274162,28.1663,28.086891,28.018269,27.995422,28.016283,28.054415,28.123322,28.185041,28.25213,28.28295
28.867802,28.825975,28.735727,28.636478,28.512608,28.398087,28.274162,28.173252,28.076256,28.016283,27.97589,27.977884,28.02045,28.063839,28.119362,28.144592
29.000277,28.958101,28.86669,28.764534,28.63535,28.512608,28.376997,28.260199,28.142096,28.054415,27.977886,27.94582,27.954111,27.973627,28.014076,28.032019
29.129875,29.088772,28.998842,28.896416,28.764532,28.636477,28.49273,28.364555,28.231163,28.123323,28.020452,27.954111,27.905016,27.893541,27.914415,27.922884
29.219507,29.18171,29.09826,28.998842,28.86669,28.735727,28.586712,28.450811,28.306873,28.185041,28.063839,27.973627,27.893541,27.854786,27.850275,27.846464
29.27784,29.246155,29.18171,29.088774,28.9581,28.825975,28.673925,28.533289,28.382765,28.25213,28.119364,28.014078,27.914415,27.850275,27.799978,27.780254
29.306564,29.277838,29.219507,29.129875,29.000277,28.867802,28.714396,28.57152,28.41783,28.282951,28.144592,28.032019,27.922884,27.846464,27.780256,27.752834
