split,sample_id,global_idx,mae_temp,rmse_temp,max_abs_error,peak_true,peak_pred,peak_abs_error,avg_true,avg_pred,avg_abs_error,grad_true,grad_pred,grad_abs_error,phys_residual_mse,architecture,workload,N,source
anchor_finetune,case_02262,2262,0.022587984800338745,0.02581731230020523,0.051239013671875,27.074678421020508,27.051334381103516,0.023344039916992188,26.964820861816406,26.98081398010254,0.015993118286132812,0.07467375695705414,0.0715188980102539,0.017475025728344917,8.057629747781903e-05,standard,checkerboard,8,anchor_real
anchor_finetune,case_02263,2263,0.03397548198699951,0.04880596697330475,0.1443157196044922,27.512306213378906,27.370956420898438,0.14134979248046875,25.982410430908203,25.98214340209961,0.00026702880859375,0.15893374383449554,0.1541600227355957,0.031265564262866974,0.00017248064978048205,standard,hotspot,8,anchor_real
anchor_finetune,case_02264,2264,0.033695727586746216,0.036708440631628036,0.06109619140625,28.929645538330078,28.990741729736328,0.06109619140625,28.929643630981445,28.963340759277344,0.03369712829589844,0.0,0.010511551983654499,0.010511551983654499,2.5160958102787845e-05,standard,uniform,8,anchor_real
anchor_finetune,case_02265,2265,0.05907398462295532,0.06479977816343307,0.14651870727539062,28.071184158325195,28.11650276184082,0.045318603515625,27.848987579345703,27.90806007385254,0.05907249450683594,0.039170727133750916,0.03645733743906021,0.017074499279260635,4.505471952143125e-05,systolic,checkerboard,8,anchor_real
anchor_finetune,case_02266,2266,0.0467970073223114,0.05891488865017891,0.1620159149169922,29.62624168395996,29.788257598876953,0.1620159149169922,28.659503936767578,28.634334564208984,0.02516937255859375,0.21083614230155945,0.22102445363998413,0.0356975793838501,0.0002173998800572008,systolic,hotspot,8,anchor_real
anchor_finetune,case_02267,2267,0.04146251082420349,0.04766128212213516,0.09418106079101562,31.22166633605957,31.270057678222656,0.04839134216308594,30.747116088867188,30.786277770996094,0.03916168212890625,0.08135836571455002,0.08314769715070724,0.021318059414625168,9.781391418073326e-05,systolic,uniform,8,anchor_real
anchor_finetune,case_02268,2268,0.032888129353523254,0.035828713327646255,0.07576370239257812,27.079296112060547,27.097902297973633,0.018606185913085938,26.964820861816406,26.997655868530273,0.03283500671386719,0.0698321983218193,0.06829887628555298,0.01170261763036251,5.0589864258654416e-05,standard,checkerboard,16,anchor_real
anchor_finetune,case_02269,2269,0.03204303979873657,0.04334785416722298,0.1645050048828125,28.570537567138672,28.735042572021484,0.1645050048828125,25.982410430908203,26.001235961914062,0.018825531005859375,0.11807002127170563,0.12115434557199478,0.017058033496141434,4.8287169192917645e-05,standard,hotspot,16,anchor_real
anchor_finetune,case_02270,2270,0.033901967108249664,0.03591638803482056,0.06548118591308594,28.929645538330078,28.995126724243164,0.06548118591308594,28.929649353027344,28.962993621826172,0.033344268798828125,0.0,0.008139562793076038,0.008139562793076038,1.6893387510208413e-05,standard,uniform,16,anchor_real
anchor_finetune,case_02271,2271,0.03697817772626877,0.046226866543293,0.13817977905273438,29.306564331054688,29.412508010864258,0.10594367980957031,28.377037048339844,28.41353988647461,0.036502838134765625,0.08230990916490555,0.0842166393995285,0.012994718737900257,3.479301813058555e-05,systolic,checkerboard,16,anchor_real
anchor_finetune,case_02272,2272,0.0644100159406662,0.07797890156507492,0.17042160034179688,30.626827239990234,30.709476470947266,0.08264923095703125,28.794584274291992,28.85179328918457,0.057209014892578125,0.17964640259742737,0.1829800009727478,0.022983532398939133,0.000100692268460989,systolic,hotspot,16,anchor_real
anchor_finetune,case_02273,2273,0.04457087069749832,0.054960064589977264,0.13636016845703125,33.62158203125,33.638587951660156,0.01700592041015625,31.772502899169922,31.79981231689453,0.027309417724609375,0.16545379161834717,0.16475138068199158,0.024241197854280472,0.00012138504825998098,systolic,uniform,16,anchor_real
