0,1,2,3,4,5,6,7
6,6,7,7,8,8,9,9
6,6,7,7,8,8,9,9
7,7,6,6,7,7,8,8
7,7,6,6,7,7,8,8
8,8,7,7,6,6,7,7
8,8,7,7,6,6,7,7
9,9,8,8,7,7,6,6
9,9,8,8,7,7,6,6
