0,1,2,3,4,5,6,7
12,13,14,15,12,12,12,12
13,12,13,14,12,12,12,12
14,13,12,13,12,12,12,12
15,14,13,12,12,12,12,12
12,12,12,12,0,0,0,0
12,12,12,12,0,0,0,0
12,12,12,12,0,0,0,0
12,12,12,12,0,0,0,0
