0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
27.079296,26.953598,27.030352,26.930384,27.017754,26.9229,27.012949,26.919495,27.01015,26.916697,27.006746,26.911892,26.999262,26.899292,26.97605,26.850353
26.953598,27.016325,26.949152,27.005121,26.940372,26.999077,26.936207,26.99601,26.933638,26.99344,26.930569,26.989273,26.924522,26.980492,26.913322,26.976048
27.030352,26.949154,27.009398,26.93929,27.002949,26.934732,26.999641,26.932188,26.997458,26.930004,26.99491,26.926697,26.990356,26.920244,26.980492,26.899292
26.930384,27.005121,26.939287,27.00295,26.935823,26.999928,26.933409,26.997965,26.931679,26.996235,26.929716,26.99382,26.926695,26.990355,26.924522,26.99926
27.017754,26.940372,27.002949,26.935825,27.000273,26.933758,26.998589,26.932337,26.997307,26.931053,26.995886,26.929369,26.993816,26.926695,26.989273,26.91189
26.9229,26.999077,26.934732,26.999928,26.933756,26.99876,26.932693,26.997818,26.931824,26.99695,26.930883,26.995888,26.929716,26.99491,26.930569,27.006744
27.012947,26.936207,26.999641,26.93341,26.99859,26.932695,26.997988,26.932156,26.997484,26.931656,26.99695,26.931053,26.996235,26.930002,26.993439,26.916697
26.919495,26.99601,26.93219,26.997965,26.932337,26.99782,26.932158,26.99765,26.931995,26.997486,26.931826,26.997307,26.931679,26.997456,26.933636,27.010149
27.010149,26.933638,26.997458,26.931677,26.997307,26.931826,26.997486,26.931995,26.99765,26.932158,26.99782,26.932337,26.997965,26.932188,26.99601,26.919495
26.916697,26.993439,26.930002,26.996233,26.931053,26.99695,26.931658,26.997486,26.932158,26.997988,26.932693,26.99859,26.933409,26.999641,26.936205,27.012947
27.006744,26.930567,26.994907,26.929716,26.995888,26.930883,26.99695,26.931826,26.99782,26.932693,26.99876,26.933756,26.999928,26.934732,26.999077,26.9229
26.911892,26.989273,26.926695,26.993818,26.92937,26.995886,26.931055,26.997307,26.932337,26.99859,26.933758,27.000277,26.935827,27.00295,26.940372,27.017754
26.999264,26.924522,26.990356,26.926695,26.99382,26.929716,26.996235,26.931677,26.997965,26.933409,26.99993,26.935827,27.002953,26.939291,27.00512,26.930384
26.899294,26.980492,26.920244,26.990356,26.926695,26.99491,26.930004,26.997456,26.932186,26.99964,26.934732,27.002949,26.93929,27.0094,26.949152,27.03035
26.97605,26.913322,26.980494,26.92452,26.989271,26.930567,26.99344,26.933638,26.99601,26.936205,26.999077,26.940372,27.00512,26.949154,27.016323,26.953594
26.850351,26.97605,26.899294,26.999262,26.911892,27.006744,26.916697,27.01015,26.919495,27.012947,26.9229,27.017754,26.930384,27.03035,26.953598,27.079292
