0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
30.564209,30.622978,30.736242,30.897629,31.099926,31.335772,31.597921,31.87923,32.1724,32.469494,32.76113,33.035095,33.27391,33.449642,33.56472,33.621582
30.622978,30.640549,30.721994,30.858824,31.042192,31.263487,31.514498,31.78738,32.074352,32.36722,32.65671,32.931465,33.176758,33.37358,33.501595,33.56472
30.73624,30.721994,30.737684,30.823763,30.968006,31.159204,31.38716,31.642546,31.916525,32.200275,32.484364,32.758003,33.00824,33.21944,33.37358,33.449646
30.897629,30.858824,30.823763,30.829508,30.911806,31.055317,31.246704,31.47424,31.72734,31.99599,32.270103,32.538822,32.78975,33.00824,33.176754,33.273903
31.099926,31.042194,30.968008,30.911806,30.905195,30.980232,31.119024,31.306385,31.529116,31.775318,32.03362,32.29238,32.538822,32.758003,32.93146,33.035095
31.335772,31.263489,31.159204,31.055319,30.980232,30.961416,31.02804,31.16012,31.340826,31.55551,31.7908,32.03362,32.270107,32.484364,32.65671,32.76113
31.597921,31.514502,31.38716,31.246704,31.119024,31.02804,30.998081,31.056042,31.180159,31.352053,31.555508,31.775318,31.99599,32.200275,32.367226,32.469494
31.87923,31.787378,31.642546,31.47424,31.306385,31.16012,31.056042,31.016071,31.065237,31.180159,31.340826,31.529116,31.72734,31.916525,32.07435,32.172405
32.1724,32.07435,31.916521,31.727339,31.529114,31.340824,31.180159,31.065237,31.016071,31.056044,31.16012,31.306387,31.474241,31.642546,31.787382,31.879234
32.469494,32.36722,32.200275,31.995987,31.775316,31.555508,31.35205,31.180159,31.056042,30.998081,31.028042,31.119026,31.246706,31.387163,31.514502,31.597923
32.761127,32.65671,32.484364,32.270107,32.03362,31.7908,31.555508,31.340824,31.16012,31.028042,30.961418,30.980232,31.055319,31.159204,31.263489,31.335773
33.03509,32.931465,32.758003,32.538822,32.29238,32.03362,31.775318,31.529116,31.306385,31.119026,30.980234,30.905195,30.911806,30.968008,31.042194,31.099926
33.273903,33.176754,33.00824,32.789745,32.538822,32.270107,31.99599,31.72734,31.474243,31.246706,31.055319,30.911806,30.829508,30.823763,30.858824,30.897627
33.449646,33.373577,33.21944,33.008236,32.758003,32.484364,32.200275,31.916525,31.642548,31.387163,31.159204,30.968008,30.823765,30.737684,30.721994,30.73624
33.56472,33.501595,33.373577,33.176758,32.931465,32.65671,32.36722,32.074352,31.78738,31.514498,31.263487,31.042192,30.858824,30.721994,30.640547,30.622976
33.621582,33.56472,33.449642,33.273903,33.03509,32.761127,32.46949,32.1724,31.87923,31.59792,31.33577,31.099926,30.897627,30.73624,30.622978,30.564207
